beir-docid	faiss-docid
10749308	0
26067999	1
15521377	2
27768226	3
5114940	4
10374686	5
6670101	6
2475059	7
37248570	8
39291138	9
13770184	10
34544514	11
27428509	12
13256155	13
5145974	14
9764256	15
581832	16
29387024	17
13083189	18
30184745	19
9967265	20
5691302	21
21003930	22
27841037	23
1428840	24
4506702	25
28617573	26
13071728	27
4506414	28
12438901	29
38886345	30
76415938	31
44048701	32
27873158	33
8582337	34
5850219	35
27466734	36
8883846	37
10692412	38
13619127	39
3471191	40
18816720	41
29564505	42
34208005	43
52072815	44
195680777	45
1805641	46
41294031	47
5596332	48
34025053	49
52175065	50
8595678	51
34873974	52
3654468	53
24269361	54
11880289	55
13497630	56
3613041	57
15476777	58
10692948	59
35766603	60
34439544	61
5824985	62
7011850	63
28633594	64
24159217	65
5185871	66
15319019	67
3272084	68
3898784	69
24575065	70
4824840	71
45015767	72
40790033	73
24323695	74
86217760	75
1044552	76
22942787	77
19140422	78
3578380	79
13625993	80
34139429	81
6647414	82
23863576	83
18074797	84
29981186	85
5558754	86
26064662	87
41354899	88
9394119	89
10430148	90
6477536	91
17973630	92
9604301	93
1287809	94
38493521	95
40164383	96
10582939	97
13282296	98
24349992	99
26907074	100
195689316	101
39368721	102
6327940	103
14806256	104
86602746	105
4828631	106
849771	107
4687948	108
30639847	109
13900610	110
4200695	111
24273592	112
32797183	113
27099731	114
13774178	115
7639744	116
12009265	117
52874170	118
6158879	119
17685207	120
20960682	121
17648235	122
18174210	123
6202834	124
5687200	125
12672066	126
33409100	127
13899137	128
11117498	129
43334921	130
25301182	131
12903921	132
26611834	133
18895793	134
39532074	135
27024392	136
41298619	137
41256402	138
39059143	139
52887689	140
30041895	141
5402581	142
3095620	143
32852283	144
6153754	145
19878070	146
23670644	147
27129115	148
53211308	149
1456068	150
4688340	151
14408200	152
11614737	153
7602348	154
14823313	155
1412089	156
12762485	157
36212758	158
6517267	159
22505710	160
168265642	161
4999633	162
24341590	163
13097856	164
24077493	165
16532419	166
14437255	167
36637129	168
21623140	169
4678846	170
10982689	171
15984735	172
21571708	173
10984005	174
38805486	175
15648443	176
3355397	177
13223957	178
8529693	179
32421068	180
49429882	181
1780819	182
11246427	183
13007205	184
24276304	185
22236223	186
36558211	187
30844602	188
22401720	189
21274496	190
20645335	191
14724693	192
7965928	193
25028913	194
14682243	195
2647374	196
72933407	197
39984099	198
12207167	199
37118634	200
4810810	201
15692098	202
20746604	203
12258338	204
159469	205
11939159	206
16760369	207
1642727	208
6182947	209
6309659	210
22442133	211
2496002	212
13883546	213
19464037	214
2391552	215
41329220	216
18855191	217
25079962	218
24697979	219
37480103	220
7111021	221
27264454	222
6540064	223
1606628	224
44572913	225
17626822	226
14915566	227
25942757	228
6191684	229
18872233	230
25816994	231
8298120	232
15975146	233
24450344	234
16322674	235
152245	236
85665741	237
13515165	238
12622860	239
5710820	240
10071552	241
7751726	242
9310407	243
30786800	244
25419778	245
4647303	246
13230773	247
13901073	248
26118532	249
15381976	250
21246752	251
32390525	252
9822397	253
11943989	254
1387104	255
23126677	256
4820792	257
12471115	258
10300000	259
21479231	260
704526	261
38630735	262
1263446	263
10883736	264
5912283	265
3823862	266
341324	267
10485142	268
5548081	269
5835149	270
13944805	271
80522346	272
17821387	273
2867345	274
140907540	275
15925931	276
7552147	277
16390264	278
42150015	279
7640792	280
21009874	281
2601135	282
3078550	283
15041758	284
16826810	285
10538985	286
4462419	287
41790911	288
31208367	289
18333304	290
10854174	291
35520219	292
18654430	293
16605494	294
18062308	295
25670099	296
25822299	297
46695481	298
11748341	299
2140497	300
6173523	301
14711483	302
9629682	303
13934676	304
24704139	305
44384384	306
3756384	307
735130	308
11360768	309
42873134	310
6561200	311
9021186	312
14657344	313
14827874	314
3929361	315
6421734	316
11254556	317
13906581	318
15048300	319
1495563	320
15663829	321
8654183	322
23349986	323
29460384	324
12810152	325
13027590	326
24150328	327
23801039	328
26461066	329
6767133	330
14361849	331
17124832	332
12442311	333
30919024	334
641459	335
4425507	336
33533307	337
23420807	338
22420524	339
12991445	340
32263707	341
23601616	342
11109043	343
19945096	344
21622715	345
35271381	346
6363093	347
26668245	348
20321154	349
76463821	350
23869951	351
40817021	352
24088502	353
24735908	354
15365719	355
25969485	356
38025907	357
14337960	358
6036535	359
25985964	360
7595742	361
4910408	362
17097974	363
9167230	364
8842332	365
25690516	366
39281140	367
25488034	368
18988265	369
14290854	370
5151024	371
25895285	372
8790729	373
43629704	374
6157837	375
4883040	376
18987782	377
26068103	378
4695046	379
791050	380
31889025	381
27550580	382
16737210	383
17546486	384
17693849	385
25589047	386
54440	387
24581365	388
28193026	389
87758	390
2095573	391
13914633	392
14474178	393
21164071	394
21616324	395
2494748	396
19307912	397
3944632	398
46764350	399
6751418	400
9988425	401
12709184	402
35085326	403
3868322	404
22025252	405
11016410	406
1225513	407
2380002	408
11718220	409
14500725	410
16204011	411
22191759	412
3943235	413
5839365	414
10608397	415
21472388	416
46485368	417
323335	418
2832403	419
16252863	420
25451374	421
10697096	422
44827480	423
23938319	424
52180874	425
3078080	426
38799797	427
12789595	428
1946610	429
3580005	430
20221907	431
20375264	432
30805636	433
70516463	434
1373287	435
19752008	436
6176498	437
6250701	438
8373753	439
68317730	440
17324544	441
841371	442
79231308	443
26314743	444
27446873	445
11624482	446
15780826	447
17930286	448
32827351	449
30058568	450
34016944	451
40905302	452
3716075	453
46182525	454
7098463	455
1974176	456
3662510	457
3524352	458
3935126	459
169264	460
3413083	461
21377587	462
36721932	463
23136735	464
2138767	465
52188256	466
21323758	467
28644298	468
19332616	469
2617858	470
8190282	471
10218447	472
21239672	473
37592824	474
56486733	475
19205326	476
13481731	477
26199970	478
1711571	479
13123189	480
9288638	481
12462961	482
8428935	483
6923795	484
13070316	485
10190462	486
116556376	487
32328114	488
1332250	489
4489217	490
37619697	491
13907928	492
24552097	493
596817	494
24721347	495
30908508	496
374902	497
14606752	498
3848469	499
5114282	500
15997009	501
27408104	502
13791044	503
42387637	504
52827184	505
13312471	506
4505748	507
4890578	508
25308734	509
3085264	510
21891856	511
1522647	512
23862975	513
37578311	514
10893238	515
834336	516
31890716	517
2842550	518
3462075	519
6490571	520
9486930	521
13717103	522
13768432	523
15615957	524
20672596	525
33257464	526
11026600	527
42708716	528
350542	529
11862753	530
13734012	531
14260013	532
4483571	533
167944455	534
980196	535
10207180	536
14407673	537
4417558	538
16422880	539
14319754	540
30983338	541
7451018	542
35301079	543
42404093	544
2488880	545
4459491	546
18348376	547
52805891	548
18691097	549
43385013	550
27063470	551
2138843	552
7116734	553
3052213	554
12770738	555
18268012	556
23180075	557
13778710	558
15600979	559
24634621	560
36003142	561
33733520	562
39728826	563
41976370	564
19854543	565
9244474	566
14843502	567
26000593	568
18852643	569
24205118	570
2828460	571
12584053	572
109946221	573
602760	574
24414345	575
31363207	576
3912660	577
18340282	578
24640046	579
1507222	580
25453683	581
43700577	582
34227917	583
4345605	584
18997216	585
29526125	586
26652147	587
5884524	588
19408393	589
308862	590
25830701	591
27944135	592
22123421	593
35621259	594
20606520	595
40447899	596
12130690	597
25191216	598
25515907	599
46266579	600
1122279	601
16979690	602
9745001	603
14729253	604
9122283	605
25817686	606
317204	607
25098790	608
39580129	609
42065070	610
49208216	611
8042158	612
9976969	613
14060030	614
20188586	615
20457190	616
6790197	617
29334259	618
44265107	619
10699587	620
947631	621
1383826	622
118568	623
253672	624
23985464	625
463533	626
40343416	627
29845974	628
24101431	629
24494539	630
2774906	631
6969753	632
10486817	633
75636923	634
4857093	635
23305884	636
17163294	637
24510595	638
5377642	639
21274919	640
33370	641
7485455	642
11411060	643
16256507	644
8148122	645
9555784	646
22521091	647
34733465	648
24594624	649
7373453	650
5939172	651
9440748	652
4380287	653
6517763	654
9617381	655
10009203	656
45548062	657
12899460	658
17450673	659
51865482	660
9505448	661
26720366	662
9622258	663
24148722	664
39264456	665
74137632	666
3825750	667
14672919	668
22621251	669
32909242	670
46565020	671
4410181	672
16630996	673
3690068	674
5641851	675
7552215	676
2338488	677
7688110	678
22309946	679
3566945	680
7621534	681
12206390	682
22730024	683
33740844	684
437924	685
24725136	686
2260571	687
2266471	688
6334188	689
25510546	690
457630	691
11328820	692
24278870	693
4791384	694
4942718	695
39903312	696
42787108	697
9614443	698
7209559	699
10408324	700
38808600	701
13469921	702
3829232	703
14121786	704
39187170	705
6333347	706
10463997	707
21547032	708
40867854	709
24783597	710
27279525	711
5735492	712
40721190	713
2820454	714
4391121	715
21439640	716
42782688	717
1156322	718
2665675	719
17708753	720
8906858	721
11900630	722
14475235	723
35314705	724
40710501	725
7548577	726
21902910	727
26107000	728
515489	729
12658073	730
15274349	731
24721866	732
30226988	733
35186640	734
1781626	735
20302714	736
46277811	737
10450300	738
10790846	739
13514898	740
14296612	741
29124963	742
5935987	743
12409683	744
24557631	745
28931537	746
41340212	747
409280	748
21301090	749
33036897	750
4455466	751
16980892	752
23535770	753
3590806	754
6993046	755
16812091	756
27166444	757
33884866	758
35495268	759
24443043	760
8524891	761
31942055	762
15237660	763
15482274	764
15657779	765
17691617	766
1996292	767
22467585	768
17914395	769
28017005	770
30580263	771
33030946	772
982650	773
24881307	774
25300664	775
37424881	776
5704562	777
6085365	778
36749390	779
997143	780
2605032	781
8122346	782
4474874	783
7655029	784
20610557	785
20754359	786
9185195	787
10145528	788
25293616	789
33684572	790
991139	791
26710772	792
6748318	793
21626639	794
4928282	795
7224632	796
2328272	797
8447873	798
24396137	799
13464392	800
6710713	801
13329980	802
13496853	803
24980622	804
28562710	805
4911006	806
26409363	807
2425364	808
31313782	809
1410197	810
13714201	811
33634749	812
17682477	813
38735355	814
45336190	815
18494847	816
38401028	817
18025240	818
27093166	819
8150638	820
19308127	821
3801693	822
16058322	823
14405193	824
23304931	825
23342845	826
3495456	827
14782049	828
16701509	829
39892135	830
3034412	831
20008796	832
26341063	833
1905095	834
2039912	835
19851614	836
25319221	837
4463588	838
4515975	839
18104691	840
4464565	841
27158570	842
2316374	843
4432763	844
13732033	845
22478394	846
21562657	847
22963769	848
23509593	849
25328476	850
31564409	851
13108582	852
1102268	853
2492146	854
3127341	855
16732790	856
42441846	857
1256116	858
26045237	859
32177659	860
37336085	861
41877386	862
393001	863
23073816	864
23423230	865
44830890	866
19071857	867
19658917	868
4500832	869
7986878	870
20422174	871
23785605	872
520579	873
20240998	874
2436602	875
4627816	876
3831884	877
38664102	878
21199527	879
25732836	880
29090823	881
29955650	882
2360905	883
7717468	884
18758057	885
25571386	886
27615329	887
36357627	888
4983	889
2424794	890
14328288	891
21373821	892
18199839	893
4611267	894
17231273	895
1889358	896
4427392	897
7547329	898
1831916	899
21958900	900
27260630	901
1196631	902
2389574	903
29947146	904
2028532	905
9095394	906
27647593	907
1191830	908
3981244	909
8002529	910
12100854	911
19368793	912
19843244	913
95764370	914
7357135	915
829646	916
1701063	917
31612088	918
6985854	919
13338820	920
27866735	921
140098548	922
2787558	923
3285322	924
15435343	925
15721252	926
22495397	927
29185044	928
35684881	929
37328025	930
13031967	931
43619625	932
2194320	933
3669694	934
10209731	935
22517564	936
22867765	937
19529370	938
24349430	939
5321708	940
7137057	941
43226130	942
5398179	943
32463364	944
34121231	945
1338283	946
1871499	947
24530633	948
31311495	949
40156901	950
2060137	951
18256197	952
21551568	953
20761364	954
752423	955
20473074	956
21902400	957
3776162	958
31616203	959
36288526	960
12030735	961
20454006	962
40996863	963
45401535	964
2032877	965
14198646	966
30041340	967
36642096	968
73473433	969
9254550	970
13411519	971
31562330	972
371289	973
12869200	974
25050364	975
3093512	976
18639989	977
11837657	978
18473550	979
23244529	980
6793674	981
12794099	982
17482507	983
35747505	984
37037012	985
11459139	986
14241418	987
23076291	988
2405259	989
7506409	990
17021845	991
18218379	992
35760786	993
37065914	994
6123521	995
6767271	996
7465900	997
13964633	998
14717500	999
15113221	1000
16853734	1001
1686881	1002
2048139	1003
9196472	1004
31229233	1005
32357890	1006
44672703	1007
6550579	1008
9274291	1009
12428137	1010
30208015	1011
41380943	1012
10247282	1013
20048431	1014
38712515	1015
4414547	1016
25293721	1017
207972	1018
3329824	1019
2479538	1020
23777820	1021
2541699	1022
13843341	1023
23284774	1024
3761017	1025
12582729	1026
18914652	1027
44640124	1028
45461275	1029
34386619	1030
4729644	1031
22178316	1032
22414304	1033
22711954	1034
23577867	1035
313394	1036
5395426	1037
38243984	1038
2295434	1039
9846940	1040
16669757	1041
32462603	1042
196664003	1043
9315213	1044
38751591	1045
39550665	1046
42601237	1047
24003461	1048
30464859	1049
11951999	1050
22500262	1051
19571273	1052
33912748	1053
6144969	1054
7583104	1055
11280569	1056
14145440	1057
21302115	1058
57762078	1059
22707413	1060
25786167	1061
36111909	1062
42913391	1063
43048059	1064
26058927	1065
36216395	1066
116792	1067
16626846	1068
36464673	1069
12943966	1070
13072113	1071
23737024	1072
24632480	1073
26611094	1074
32159283	1075
51386222	1076
1538080	1077
2485101	1078
3770750	1079
4416964	1080
9164724	1081
17209919	1082
7165938	1083
11020675	1084
24356383	1085
34268160	1086
471735	1087
4462777	1088
6323196	1089
9634465	1090
25251625	1091
15135001	1092
38882175	1093
263364	1094
24998764	1095
26079071	1096
3205945	1097
19675911	1098
12205576	1099
27240667	1100
8509018	1101
4423220	1102
25842866	1103
32777637	1104
4434951	1105
14471161	1106
4462139	1107
708425	1108
15983982	1109
34016987	1110
45153864	1111
5698494	1112
13293033	1113
29253460	1114
6945285	1115
8756719	1116
19685306	1117
23967973	1118
28707489	1119
29214508	1120
36960449	1121
3067015	1122
20544428	1123
33535447	1124
37964706	1125
38551172	1126
5409325	1127
14626540	1128
40312663	1129
6212802	1130
24917562	1131
35521287	1132
4679264	1133
8246090	1134
11728637	1135
14395738	1136
23783727	1137
4700428	1138
10068634	1139
24766509	1140
2030623	1141
11615422	1142
26848994	1143
38477436	1144
649951	1145
15563864	1146
21553394	1147
21700295	1148
25135304	1149
33960383	1150
6718824	1151
37438296	1152
42035464	1153
3828508	1154
11090688	1155
20887554	1156
25974070	1157
4323449	1158
8063697	1159
23013317	1160
188911	1161
12271486	1162
12994780	1163
18379855	1164
12561083	1165
14315749	1166
31884697	1167
1542437	1168
8037453	1169
8596837	1170
19804204	1171
22688699	1172
32721137	1173
41852733	1174
3984231	1175
4312169	1176
25148216	1177
37583120	1178
43566999	1179
23868856	1180
1243475	1181
5323845	1182
35329820	1183
202259	1184
2481032	1185
25263810	1186
44030361	1187
3552753	1188
21564598	1189
23763738	1190
23974474	1191
27076725	1192
32322418	1193
2931832	1194
5137019	1195
21108759	1196
36838958	1197
5649538	1198
19828689	1199
24916604	1200
32850528	1201
54490092	1202
750781	1203
1346695	1204
15128866	1205
23830488	1206
643765	1207
4492358	1208
11201004	1209
16546131	1210
17433284	1211
20585600	1212
22889972	1213
25562234	1214
7735859	1215
37916361	1216
15473205	1217
36202354	1218
5132358	1219
10557471	1220
24042363	1221
28894097	1222
40631095	1223
45200347	1224
7873737	1225
17049436	1226
12232678	1227
9513785	1228
7155555	1229
24408040	1230
34287602	1231
41310252	1232
7492420	1233
13448422	1234
19961177	1235
22623275	1236
23273454	1237
25915873	1238
25970224	1239
38793927	1240
23848916	1241
24896957	1242
3752408	1243
10074251	1244
11953232	1245
17173492	1246
31591262	1247
8856690	1248
20696397	1249
36345185	1250
10128893	1251
20886584	1252
4387784	1253
7852582	1254
6407356	1255
19855358	1256
23471400	1257
43378932	1258
22023404	1259
23017040	1260
23203102	1261
24285403	1262
24872571	1263
7419612	1264
35345807	1265
44562221	1266
129199129	1267
2097256	1268
9095943	1269
16905344	1270
30468386	1271
39558597	1272
20127522	1273
26047921	1274
10675756	1275
14195528	1276
14972169	1277
33458992	1278
22194407	1279
85693958	1280
9507605	1281
11254040	1282
31761981	1283
9831859	1284
1391126	1285
2130391	1286
4857085	1287
10607877	1288
15856466	1289
20611846	1290
24928817	1291
18537148	1292
4422723	1293
17897801	1294
21645205	1295
5864770	1296
28598374	1297
29148743	1298
43220289	1299
44935041	1300
22815457	1301
14340571	1302
15155862	1303
20977638	1304
23440856	1305
27138601	1306
27711043	1307
3150030	1308
4442799	1309
4468861	1310
7736860	1311
16098747	1312
17077004	1313
25628793	1314
26133404	1315
27438378	1316
15578265	1317
15816729	1318
